bin,k,q_squared,t,x_b,W,phi,sigma,sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,BSA,sig_BSA,link
,10.6,1.55002,-0.270762,0.100969,,5.20462,,,,,,-0.210341,0.115412,
,10.6,1.57011,-0.280262,0.103718,,5.38945,,,,,,-0.208143,0.039733,
,10.6,1.57561,-0.294835,0.109509,,5.56568,,,,,,-0.147022,0.0237432,
,10.6,1.56542,-0.296659,0.118347,,5.73976,,,,,,-0.11932,0.0248295,
,10.6,1.51198,-0.277345,0.123228,,5.91794,,,,,,-0.146978,0.0379439,
,10.6,1.48651,-0.24287,0.125252,,6.13518,,,,,,0.00824126,0.062672,
,10.6,1.59456,-0.306927,0.147913,,0.0930619,,,,,,0.0145343,0.0256849,
,10.6,1.61132,-0.315641,0.145839,,0.277965,,,,,,0.127105,0.0257516,
,10.6,1.66231,-0.312831,0.143662,,0.454721,,,,,,0.145658,0.0429751,
,10.6,1.65758,-0.299857,0.160492,,0.728274,,,,,,0.312867,0.0938771,
,10.6,1.60569,-0.300359,0.17125,,1.43848,,,,,,0.46651,0.0524918,
,10.6,1.60293,-0.299122,0.161921,,1.75648,,,,,,0.202051,0.0813978,
,10.6,1.61206,-0.295003,0.159886,,1.98485,,,,,,0.127021,0.11238,
,10.6,1.58405,-0.298265,0.164224,,2.20385,,,,,,0.297809,0.0774805,
,10.6,1.57597,-0.314634,0.158917,,2.42956,,,,,,0.228745,0.0738402,
,10.6,1.6094,-0.308411,0.157115,,2.60783,,,,,,0.160265,0.0725917,
,10.6,1.58967,-0.309153,0.1592,,2.79701,,,,,,0.0738126,0.0766664,
,10.6,1.58753,-0.313347,0.155874,,2.97936,,,,,,0.0643592,0.0849942,
,10.6,1.58089,-0.319728,0.156546,,3.16557,,,,,,-0.154017,0.112012,
,10.6,1.5968,-0.313771,0.158289,,3.39169,,,,,,0.250391,0.0734102,
,10.6,1.59391,-0.311116,0.156495,,3.64126,,,,,,-0.189025,0.101277,
,10.6,1.58041,-0.306988,0.161855,,3.88252,,,,,,-0.0077834,0.111533,
,10.6,1.60037,-0.321453,0.163415,,4.30533,,,,,,-0.453142,0.111939,
,10.6,1.58945,-0.329352,0.159272,,4.74975,,,,,,-0.227572,0.100751,
