bin,k',k,q_squared,t,x_b,w,phi,D^4_sigma (nb/Gev^4),D^4_sigma_stat_plus,D^4_sigma_stat_minus,D^4_sigma_sys_plus,D^4_sigma_sys_minus,1/2 Helc_diff_d4_sigma (nb/GeV^4),1/2 Helc_diff_d4_sigma_stat_plus,1/2 Helc_diff_d4_sigma_stat_minus,1/2 Helc_diff_d4_sigma_sys_plus,1/2 Helc_diff_d4_sigma_sys_minus,link
,2.34,5.7572,2.375,-0.372,0.373,,292.5,0.0312,0.0025,0.0025,0,0.0014,-0.0113,0.0031,0.0031,0,0.0018,
,2.34,5.7572,2.375,-0.372,0.373,,307.5,0.0333,0.0029,0.0029,0.0016,0.0002,-0.0088,0.0037,0.0037,0.0004,0.0005,
,2.34,5.7572,2.375,-0.372,0.373,,322.5,0.0455,0.004,0.004,0,0.0076,-0.0052,0.0051,0.0051,0.0004,0.0026,
,2.34,5.7572,2.375,-0.372,0.373,,337.5,0.0552,0.0064,0.0064,0.0007,0.004,-0.0081,0.0081,0.0081,0.0034,0.0043,
,2.34,5.7572,2.375,-0.372,0.373,,352.5,0.0554,0.0087,0.0087,0.0031,0.0013,0.0073,0.0115,0.0115,0.0022,0.0011,
,2.36,5.7572,2.161,-0.171,0.336,,7.5,0.1207,0.0047,0.0047,0.0009,0.0004,0.0073,0.0065,0.0065,0,0.008,
,2.36,5.7572,2.161,-0.171,0.336,,22.5,0.1325,0.0049,0.0049,0.0037,0,0.0017,0.0067,0.0067,0.0028,0.0018,
,2.36,5.7572,2.161,-0.171,0.336,,37.5,0.1187,0.0045,0.0045,0.0028,0,0.0076,0.0061,0.0061,0.0028,0.0004,
,2.36,5.7572,2.161,-0.171,0.336,,52.5,0.0998,0.0041,0.0041,0.0013,0.0019,0.0225,0.0056,0.0056,0.0093,0,
,2.36,5.7572,2.161,-0.171,0.336,,67.5,0.0884,0.0038,0.0038,0,0.0055,0.0258,0.0053,0.0053,0.0057,0,
,2.36,5.7572,2.161,-0.171,0.336,,82.5,0.0814,0.0036,0.0036,0.0005,0.0007,0.0149,0.0051,0.0051,0.0032,0.0004,
,2.36,5.7572,2.161,-0.171,0.336,,97.5,0.0627,0.0031,0.0031,0.0015,0.0008,0.0142,0.0045,0.0045,0.0033,0,
,2.36,5.7572,2.161,-0.171,0.336,,112.5,0.0613,0.003,0.003,0.0006,0.0015,0.0233,0.0042,0.0042,0,0.0026,
,2.36,5.7572,2.161,-0.171,0.336,,127.5,0.0581,0.003,0.003,0.0005,0.0019,0.0113,0.0042,0.0042,0.0008,0.0038,
,2.36,5.7572,2.161,-0.171,0.336,,142.5,0.0529,0.0027,0.0027,0.0028,0,0.007,0.0039,0.0039,0.0012,0.0002,
,2.36,5.7572,2.161,-0.171,0.336,,157.5,0.0439,0.0026,0.0026,0.0002,0.0008,-0.0031,0.0037,0.0037,0.0012,0,
,2.36,5.7572,2.161,-0.171,0.336,,172.5,0.0454,0.0025,0.0025,0,0.0012,0.0045,0.0037,0.0037,0.004,0.0003,
,2.36,5.7572,2.161,-0.171,0.336,,187.5,0.041,0.0024,0.0024,0.0009,0.0001,-0.0017,0.0035,0.0035,0.0001,0.0025,
,2.36,5.7572,2.161,-0.171,0.336,,202.5,0.0442,0.0025,0.0025,0.0009,0.0009,-0.0021,0.0036,0.0036,0.0018,0.0013,
,2.36,5.7572,2.161,-0.171,0.336,,217.5,0.0516,0.0027,0.0027,0.0008,0.0008,-0.0092,0.0039,0.0039,0.0006,0.0007,
,2.36,5.7572,2.161,-0.171,0.336,,232.5,0.0577,0.0029,0.0029,0.0006,0.0008,-0.0135,0.0041,0.0041,0.0026,0,
,2.36,5.7572,2.161,-0.171,0.336,,247.5,0.0569,0.0029,0.0029,0.0001,0.0023,-0.0068,0.0041,0.0041,0.0024,0,
,2.36,5.7572,2.161,-0.171,0.336,,262.5,0.0693,0.0032,0.0032,0,0.0037,-0.0227,0.0045,0.0045,0.0022,0.0008,
