bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,1/2 Helc_sum_d4_sigma (nb/GeV^4),1/2 Helc_diff_d4_sigma_stat_plus,1/2 Helc_diff_d4_sigma_stat_minus,1/2 Helc_diff_d4_sigma_sys_plus,1/2 Helc_diff_d4_sigma_sys_minus,link
,5.55,1.98,0.182,0.357,,352.5,,,,,,-0.00144,0.0066,0.0066,,,
,5.55,1.98,0.242,0.356,,7.5,,,,,,0.00672,0.0069,0.0069,,,
,5.55,1.98,0.242,0.356,,22.5,,,,,,0.016,0.0066,0.0066,,,
,5.55,1.98,0.242,0.356,,37.5,,,,,,-0.0038,0.006,0.006,,,
,5.55,1.98,0.242,0.356,,52.5,,,,,,0.0173,0.0055,0.0055,,,
,5.55,1.98,0.242,0.356,,67.5,,,,,,0.0195,0.005,0.005,,,
,5.55,1.98,0.242,0.356,,82.5,,,,,,0.0131,0.0046,0.0046,,,
,5.55,1.98,0.242,0.356,,97.5,,,,,,0.00978,0.0042,0.0042,,,
,5.55,1.98,0.242,0.356,,112.5,,,,,,0.0116,0.004,0.004,,,
,5.55,1.98,0.242,0.356,,127.5,,,,,,0.000977,0.0038,0.0038,,,
,5.55,1.98,0.242,0.356,,142.5,,,,,,0.00591,0.0037,0.0037,,,
,5.55,1.98,0.242,0.356,,157.5,,,,,,-0.00000437,0.0037,0.0037,,,
,5.55,1.98,0.242,0.356,,172.5,,,,,,0.002,0.0037,0.0037,,,
,5.55,1.98,0.242,0.356,,187.5,,,,,,-0.000931,0.0037,0.0037,,,
,5.55,1.98,0.242,0.356,,202.5,,,,,,-0.00403,0.0038,0.0038,,,
,5.55,1.98,0.242,0.356,,217.5,,,,,,-0.00103,0.0038,0.0038,,,
,5.55,1.98,0.242,0.356,,232.5,,,,,,-0.00184,0.0039,0.0039,,,
,5.55,1.98,0.242,0.356,,247.5,,,,,,-0.0117,0.0041,0.0041,,,
,5.55,1.98,0.242,0.356,,262.5,,,,,,-0.0146,0.0044,0.0044,,,
,5.55,1.98,0.242,0.356,,277.5,,,,,,-0.00768,0.0047,0.0047,,,
,5.55,1.98,0.242,0.356,,292.5,,,,,,-0.00572,0.0052,0.0052,,,
,5.55,1.98,0.242,0.356,,307.5,,,,,,-0.0186,0.0057,0.0057,,,
,5.55,1.98,0.242,0.356,,322.5,,,,,,-0.00948,0.0062,0.0062,,,
