bin,k,q_squared,t,x_b,w,phi,D^4_sigma (nb/Gev^4),D^4_sigma_stat_plus,D^4_sigma_stat_minus,D^4_sigma_sys_plus,D^4_sigma_sys_minus,1/2 Helc_diff_d4_sigma (nb/GeV^4),1/2 Helc_diff_d4_sigma_stat_plus,1/2 Helc_diff_d4_sigma_stat_minus,1/2 Helc_diff_d4_sigma_sys_plus,1/2 Helc_diff_d4_sigma_sys_minus,link
,,1.132,-0.864,0.125,,97.1,0.0362127,0.00428624,0.00428624,0.00376946,0.00376946,0.00202341,0.0036374,0.0036374,0.00206358,0.00206358,
,,1.132,-0.864,0.125,,112.1,0.0291899,0.00392509,0.00392509,0.00276145,0.00276145,-0.00292336,0.00347465,0.00347465,0.00187929,0.00187929,
,,1.132,-0.864,0.125,,127.2,0.0260556,0.00499986,0.00499986,0.00216858,0.00216858,-0.00283117,0.00437972,0.00437972,0.000938122,0.000938122,
,,1.132,-0.864,0.125,,157.4,0.0208541,0.00645693,0.00645693,0.00397682,0.00397682,-0.00270737,0.00606332,0.00606332,0.0037302,0.0037302,
,,1.132,-0.864,0.125,,187.5,0.0135793,0.0131094,0.0131094,0.000791803,0.000791803,0.0135793,0.0131094,0.0131094,0.000791803,0.000791803,
,,1.132,-0.864,0.125,,202.6,0.0167727,0.00924293,0.00924293,0.00436696,0.00436696,0.0113463,0.00975459,0.00975459,0.00363183,0.00363183,
,,1.132,-0.864,0.125,,217.7,0.00847254,0.00288071,0.00288071,0.00147468,0.00147468,-0.00304482,0.00291243,0.00291243,0.00183581,0.00183581,
,,1.132,-0.864,0.125,,232.8,0.0256329,0.0046791,0.0046791,0.00187016,0.00187016,-0.00236846,0.00422064,0.00422064,0.00153453,0.00153453,
,,1.132,-0.864,0.125,,262.9,0.0324644,0.0043757,0.0043757,0.00318831,0.00318831,-0.00402111,0.00397395,0.00397395,0.000726439,0.000726439,
,,1.131,-0.864,0.125,,278,0.0495266,0.00453731,0.00453731,0.00526502,0.00526502,0.00580723,0.00379575,0.00379575,0.0028311,0.0028311,
,,1.131,-0.864,0.125,,293.1,0.0727991,0.00680726,0.00680726,0.00567375,0.00567375,-0.00636179,0.00554521,0.00554521,0.00343206,0.00343206,
,,1.131,-0.863,0.125,,308.2,0.107006,0.0107861,0.0107861,0.0085556,0.0085556,0.00222117,0.0087031,0.0087031,0.00241565,0.00241565,
,,1.13,-0.862,0.126,,323.2,0.172341,0.0123425,0.0123425,0.0111001,0.0111001,0.0201054,0.00940611,0.00940611,0.00326879,0.00326879,
,,1.13,-0.86,0.126,,338.1,0.266052,0.0131964,0.0131964,0.0171265,0.0171265,0.0028345,0.00980454,0.00980454,0.0058256,0.0058256,
,,1.13,-0.859,0.126,,352.7,0.300045,0.0140718,0.0140718,0.0181897,0.0181897,-0.0192694,0.0104503,0.0104503,0.00472629,0.00472629,
,,1.127,-1.398,0.126,,7.3,0.0498203,0.00390924,0.00390924,0.00351328,0.00351328,-0.000655396,0.00301079,0.00301079,0.0015955,0.0015955,
,,1.128,-1.39,0.126,,21.9,0.0447819,0.00497646,0.00497646,0.00420731,0.00420731,0.000549994,0.00391986,0.00391986,0.000873416,0.000873416,
,,1.13,-1.382,0.126,,36.8,0.0264628,0.00264436,0.00264436,0.00187297,0.00187297,0.0013822,0.00206705,0.00206705,0.000583457,0.000583457,
,,1.131,-1.379,0.125,,51.8,0.0161826,0.00203871,0.00203871,0.003093,0.003093,0.00168306,0.00170455,0.00170455,0.00170663,0.00170663,
,,1.132,-1.377,0.125,,66.9,0.0084851,0.00152066,0.00152066,0.00185801,0.00185801,0.0040289,0.00140921,0.00140921,0.00100013,0.00100013,
,,1.132,-1.376,0.125,,82,0.0101125,0.00348003,0.00348003,0.00184189,0.00184189,0.00464628,0.00338381,0.00338381,0.000431469,0.000431469,
,,1.133,-1.377,0.125,,97.1,0.00708365,0.00283992,0.00283992,0.000984961,0.000984961,0.00265637,0.00266922,0.00266922,0.000557305,0.000557305,
,,1.132,-1.377,0.125,,157.3,0.0191967,0.0170112,0.0170112,0.00205979,0.00205979,-0.00719878,0.0153494,0.0153494,0.0018957,0.0018957,
,,1.133,-1.377,0.125,,172.5,0.00272545,0.00245686,0.00245686,0.000955398,0.000955398,0.00272545,0.00245686,0.00245686,0.000955398,0.000955398,
,,1.133,-1.377,0.125,,262.9,0.0156057,0.00751085,0.00751085,0.0044364,0.0044364,-0.00487677,0.00690905,0.00690905,0.0012457,0.0012457,
,,1.132,-1.376,0.125,,278,0.00922965,0.00195526,0.00195526,0.000595421,0.000595421,0.00213612,0.0017592,0.0017592,0.00109966,0.00109966,
,,1.132,-1.377,0.125,,293.1,0.00710834,0.00119029,0.00119029,0.000742781,0.000742781,0.000271219,0.00104876,0.00104876,0.000654636,0.000654636,
,,1.131,-1.379,0.125,,308.2,0.0142573,0.0026114,0.0026114,0.00217306,0.00217306,0.00460143,0.00235073,0.00235073,0.000600884,0.000600884,
,,1.13,-1.382,0.126,,323.2,0.0172014,0.00230947,0.00230947,0.0013493,0.0013493,-0.00145227,0.00190371,0.00190371,0.00126383,0.00126383,
,,1.128,-1.39,0.126,,338.1,0.0403827,0.00321457,0.00321457,0.00303246,0.00303246,-0.00582061,0.00251398,0.00251398,0.000706879,0.000706879,
,,1.127,-1.398,0.126,,352.7,0.048442,0.00321058,0.00321058,0.00364823,0.00364823,0.00439042,0.0024359,0.0024359,0.000622474,0.000622474,
,,1.302,-0.108,0.155,,37.7,8.23678,0.598119,0.598119,0.578312,0.578312,1.82401,0.454476,0.454476,0.200304,0.200304,
,,1.298,-0.109,0.154,,52,5.00441,0.266678,0.266678,0.323862,0.323862,0.77345,0.200291,0.200291,0.087418,0.087418,
,,1.299,-0.109,0.154,,67,2.64773,0.167406,0.167406,0.39268,0.39268,0.77538,0.130935,0.130935,0.13574,0.13574,
,,1.3,-0.108,0.154,,82.1,2.07881,0.117202,0.117202,0.183145,0.183145,0.388516,0.0889272,0.0889272,0.0429126,0.0429126,
,,1.3,-0.108,0.154,,97.1,1.67811,0.105728,0.105728,0.12441,0.12441,0.273532,0.0813969,0.0813969,0.0474493,0.0474493,
