bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,D^4_sigma (nb/Gev^4),D^4_sigma_stat_plus,D^4_sigma_stat_minus,D^4_sigma_sys_plus,D^4_sigma_sys_minus,link
,5.55,1.98,0.302,0.356,,187.5,,,,,,0.026,0.0031,0.0031,,,
,5.55,1.98,0.302,0.356,,202.5,,,,,,0.0307,0.0032,0.0032,,,
,5.55,1.98,0.302,0.356,,217.5,,,,,,0.0194,0.0028,0.0028,,,
,5.55,1.98,0.302,0.356,,232.5,,,,,,0.0284,0.0031,0.0031,,,
,5.55,1.98,0.302,0.356,,247.5,,,,,,0.0388,0.0034,0.0034,,,
,5.55,1.98,0.302,0.356,,262.5,,,,,,0.0388,0.0035,0.0035,,,
,5.55,1.98,0.302,0.356,,277.5,,,,,,0.0452,0.0038,0.0038,,,
,5.55,1.98,0.302,0.356,,292.5,,,,,,0.0504,0.0042,0.0042,,,
,5.55,1.98,0.302,0.356,,307.5,,,,,,0.0659,0.0045,0.0045,,,
,5.55,1.98,0.302,0.356,,322.5,,,,,,0.0722,0.005,0.005,,,
,5.55,1.98,0.302,0.356,,337.5,,,,,,0.0858,0.0055,0.0055,,,
,5.55,1.98,0.302,0.356,,352.5,,,,,,0.1015,0.0062,0.0062,,,
,5.55,1.99,0.363,0.358,,7.5,,,,,,0.0981,0.007,0.007,,,
,5.55,1.99,0.363,0.358,,22.5,,,,,,0.0806,0.0061,0.0061,,,
,5.55,1.99,0.363,0.358,,37.5,,,,,,0.0612,0.0049,0.0049,,,
,5.55,1.99,0.363,0.358,,52.5,,,,,,0.0527,0.0041,0.0041,,,
,5.55,1.99,0.363,0.358,,67.5,,,,,,0.0445,0.0037,0.0037,,,
,5.55,1.99,0.363,0.358,,82.5,,,,,,0.035,0.0034,0.0034,,,
,5.55,1.99,0.363,0.358,,97.5,,,,,,0.0307,0.0031,0.0031,,,
,5.55,1.99,0.363,0.358,,112.5,,,,,,0.0303,0.0031,0.0031,,,
,5.55,1.99,0.363,0.358,,127.5,,,,,,0.0242,0.003,0.003,,,
,5.55,1.99,0.363,0.358,,142.5,,,,,,0.0225,0.0031,0.0031,,,
,5.55,1.99,0.363,0.358,,157.5,,,,,,0.02,0.0031,0.0031,,,
,5.55,1.99,0.363,0.358,,172.5,,,,,,0.022,0.0034,0.0034,,,
,5.55,1.99,0.363,0.358,,187.5,,,,,,0.0216,0.0033,0.0033,,,
,5.55,1.99,0.363,0.358,,202.5,,,,,,0.0216,0.0032,0.0032,,,
,5.55,1.99,0.363,0.358,,217.5,,,,,,0.0242,0.0032,0.0032,,,
,5.55,1.99,0.363,0.358,,232.5,,,,,,0.0224,0.003,0.003,,,
,5.55,1.99,0.363,0.358,,247.5,,,,,,0.033,0.0033,0.0033,,,
,5.55,1.99,0.363,0.358,,262.5,,,,,,0.0302,0.0035,0.0035,,,
,5.55,1.99,0.363,0.358,,277.5,,,,,,0.0401,0.0038,0.0038,,,
,5.55,1.99,0.363,0.358,,292.5,,,,,,0.0473,0.0041,0.0041,,,
,5.55,1.99,0.363,0.358,,307.5,,,,,,0.0505,0.0044,0.0044,,,
,5.55,1.99,0.363,0.358,,322.5,,,,,,0.0713,0.0051,0.0051,,,
,5.55,1.99,0.363,0.358,,337.5,,,,,,0.0928,0.0061,0.0061,,,
,5.55,1.99,0.363,0.358,,352.5,,,,,,0.106,0.007,0.007,,,
,3.355,1.49,0.177,0.357,,15,,,,,,0.4013,0.021,0.021,,,
,3.355,1.49,0.177,0.357,,45,,,,,,0.3423,0.017,0.017,,,
,3.355,1.49,0.177,0.357,,75,,,,,,0.2736,0.015,0.015,,,
,3.355,1.49,0.177,0.357,,105,,,,,,0.2126,0.013,0.013,,,
,3.355,1.49,0.177,0.357,,135,,,,,,0.1775,0.011,0.011,,,
,3.355,1.49,0.177,0.357,,165,,,,,,0.155,0.01,0.01,,,
,3.355,1.49,0.177,0.357,,195,,,,,,0.1491,0.01,0.01,,,
,3.355,1.49,0.177,0.357,,225,,,,,,0.1559,0.011,0.011,,,
