set,index,k,q_squared,x_b,t,phi,F,sigma,sigma_stat_plus,F1,F2
8,9,5.75,2.348,0.368,-0.279,142.5,0.02480,0.00180,0.07258,0.56741,0.84881
8,10,5.75,2.348,0.368,-0.279,157.5,0.02570,0.00192,0.07471,0.56741,0.84881
8,11,5.75,2.348,0.368,-0.279,172.5,0.02570,0.00192,0.07471,0.56741,0.84881
8,12,5.75,2.348,0.368,-0.279,187.5,0.02060,0.00180,0.08738,0.56741,0.84881
8,13,5.75,2.348,0.368,-0.279,202.5,0.02070,0.00180,0.08696,0.56741,0.84881
8,14,5.75,2.348,0.368,-0.279,217.5,0.02420,0.00180,0.07438,0.56741,0.84881
8,15,5.75,2.348,0.368,-0.279,232.5,0.02830,0.00192,0.06784,0.56741,0.84881
8,16,5.75,2.348,0.368,-0.279,247.5,0.02720,0.00204,0.075,0.56741,0.84881
8,17,5.75,2.348,0.368,-0.279,262.5,0.03170,0.00216,0.06814,0.56741,0.84881
8,18,5.75,2.348,0.368,-0.279,277.5,0.03510,0.00240,0.06838,0.56741,0.84881
8,19,5.75,2.348,0.368,-0.279,292.5,0.04180,0.00264,0.06316,0.56741,0.84881
8,20,5.75,2.348,0.368,-0.279,307.5,0.05140,0.00324,0.06304,0.56741,0.84881
8,21,5.75,2.348,0.368,-0.279,322.5,0.05140,0.00348,0.0677,0.56741,0.84881
8,22,5.75,2.348,0.368,-0.279,337.5,0.05680,0.00420,0.07394,0.56741,0.84881
8,23,5.75,2.348,0.368,-0.279,352.5,0.06000,0.00492,0.082,0.56741,0.84881
9,0,5.75,2.36,0.371,-0.325,7.5,0.06480,0.00696,0.10741,0.5279,0.76846
9,1,5.75,2.36,0.371,-0.325,22.5,0.06020,0.00588,0.09767,0.5279,0.76846
9,2,5.75,2.36,0.371,-0.325,37.5,0.04230,0.00408,0.09645,0.5279,0.76846
9,3,5.75,2.36,0.371,-0.325,52.5,0.03920,0.00360,0.09184,0.5279,0.76846
9,4,5.75,2.36,0.371,-0.325,67.5,0.03680,0.00312,0.08478,0.5279,0.76846
9,5,5.75,2.36,0.371,-0.325,82.5,0.02730,0.00252,0.09231,0.5279,0.76846
9,6,5.75,2.36,0.371,-0.325,97.5,0.02510,0.00228,0.09084,0.5279,0.76846
9,7,5.75,2.36,0.371,-0.325,112.5,0.02430,0.00204,0.08395,0.5279,0.76846
9,8,5.75,2.36,0.371,-0.325,127.5,0.02190,0.00192,0.08767,0.5279,0.76846
9,9,5.75,2.36,0.371,-0.325,142.5,0.02030,0.00180,0.08867,0.5279,0.76846
9,10,5.75,2.36,0.371,-0.325,157.5,0.01900,0.00180,0.09474,0.5279,0.76846
9,11,5.75,2.36,0.371,-0.325,172.5,0.02040,0.00192,0.09412,0.5279,0.76846
9,12,5.75,2.36,0.371,-0.325,187.5,0.01810,0.00180,0.09945,0.5279,0.76846
9,13,5.75,2.36,0.371,-0.325,202.5,0.02280,0.00192,0.08421,0.5279,0.76846
9,14,5.75,2.36,0.371,-0.325,217.5,0.01910,0.00180,0.09424,0.5279,0.76846
9,15,5.75,2.36,0.371,-0.325,232.5,0.02190,0.00180,0.08219,0.5279,0.76846
9,16,5.75,2.36,0.371,-0.325,247.5,0.02080,0.00192,0.09231,0.5279,0.76846
9,17,5.75,2.36,0.371,-0.325,262.5,0.02560,0.00228,0.08906,0.5279,0.76846
9,18,5.75,2.36,0.371,-0.325,277.5,0.03150,0.00252,0.08,0.5279,0.76846
9,19,5.75,2.36,0.371,-0.325,292.5,0.03640,0.00288,0.07912,0.5279,0.76846
9,20,5.75,2.36,0.371,-0.325,307.5,0.04000,0.00324,0.081,0.5279,0.76846
9,21,5.75,2.36,0.371,-0.325,322.5,0.05260,0.00408,0.07757,0.5279,0.76846
9,22,5.75,2.36,0.371,-0.325,337.5,0.05570,0.00552,0.0991,0.5279,0.76846
9,23,5.75,2.36,0.371,-0.325,352.5,0.05910,0.00684,0.11574,0.5279,0.76846
10,0,5.75,2.375,0.373,-0.372,7.5,0.06060,0.01008,0.16634,0.4922,0.69761
10,1,5.75,2.375,0.373,-0.372,22.5,0.05480,0.00756,0.13796,0.4922,0.69761
10,2,5.75,2.375,0.373,-0.372,37.5,0.04120,0.00492,0.11942,0.4922,0.69761
10,3,5.75,2.375,0.373,-0.372,52.5,0.03880,0.00396,0.10206,0.4922,0.69761
10,4,5.75,2.375,0.373,-0.372,67.5,0.02950,0.00312,0.10576,0.4922,0.69761
10,5,5.75,2.375,0.373,-0.372,82.5,0.02380,0.00264,0.11092,0.4922,0.69761
10,6,5.75,2.375,0.373,-0.372,97.5,0.02030,0.00228,0.11232,0.4922,0.69761
10,7,5.75,2.375,0.373,-0.372,112.5,0.01660,0.00192,0.11566,0.4922,0.69761
10,8,5.75,2.375,0.373,-0.372,127.5,0.01650,0.00180,0.10909,0.4922,0.69761
10,9,5.75,2.375,0.373,-0.372,142.5,0.01490,0.00168,0.11275,0.4922,0.69761
10,10,5.75,2.375,0.373,-0.372,157.5,0.01400,0.00180,0.12857,0.4922,0.69761
10,11,5.75,2.375,0.373,-0.372,172.5,0.01370,0.00204,0.14891,0.4922,0.69761
10,12,5.75,2.375,0.373,-0.372,187.5,0.01510,0.00204,0.1351,0.4922,0.69761
10,13,5.75,2.375,0.373,-0.372,202.5,0.01670,0.00192,0.11497,0.4922,0.69761
10,14,5.75,2.375,0.373,-0.372,217.5,0.01420,0.00168,0.11831,0.4922,0.69761
10,15,5.75,2.375,0.373,-0.372,232.5,0.01900,0.00180,0.09474,0.4922,0.69761
10,16,5.75,2.375,0.373,-0.372,247.5,0.01850,0.00204,0.11027,0.4922,0.69761
10,17,5.75,2.375,0.373,-0.372,262.5,0.01960,0.00216,0.1102,0.4922,0.69761
10,18,5.75,2.375,0.373,-0.372,277.5,0.02420,0.00240,0.09917,0.4922,0.69761
10,19,5.75,2.375,0.373,-0.372,292.5,0.03120,0.00300,0.09615,0.4922,0.69761
10,20,5.75,2.375,0.373,-0.372,307.5,0.03330,0.00348,0.1045,0.4922,0.69761
10,21,5.75,2.375,0.373,-0.372,322.5,0.04550,0.00480,0.10549,0.4922,0.69761
10,22,5.75,2.375,0.373,-0.372,337.5,0.05520,0.00768,0.13913,0.4922,0.69761
10,23,5.75,2.375,0.373,-0.372,352.5,0.05540,0.01044,0.18845,0.4922,0.69761
11,0,5.75,2.012,0.378,-0.192,7.5,0.06400,0.00756,0.11812,0.65835,1.03995
11,1,5.75,2.012,0.378,-0.192,22.5,0.06820,0.00744,0.10909,0.65835,1.03995
11,2,5.75,2.012,0.378,-0.192,37.5,0.05280,0.00672,0.12727,0.65835,1.03995
11,3,5.75,2.012,0.378,-0.192,52.5,0.05240,0.00696,0.13282,0.65835,1.03995
11,4,5.75,2.012,0.378,-0.192,67.5,0.05300,0.00648,0.12226,0.65835,1.03995
11,5,5.75,2.012,0.378,-0.192,82.5,0.04730,0.00612,0.12939,0.65835,1.03995
11,6,5.75,2.012,0.378,-0.192,97.5,0.04820,0.00588,0.12199,0.65835,1.03995
11,7,5.75,2.012,0.378,-0.192,112.5,0.04690,0.00564,0.12026,0.65835,1.03995
11,8,5.75,2.012,0.378,-0.192,127.5,0.04580,0.00552,0.12052,0.65835,1.03995
11,9,5.75,2.012,0.378,-0.192,142.5,0.03650,0.00504,0.13808,0.65835,1.03995
11,10,5.75,2.012,0.378,-0.192,157.5,0.03320,0.00480,0.14458,0.65835,1.03995
11,11,5.75,2.012,0.378,-0.192,172.5,0.03630,0.00492,0.13554,0.65835,1.03995
11,12,5.75,2.012,0.378,-0.192,187.5,0.03560,0.00492,0.1382,0.65835,1.03995
11,13,5.75,2.012,0.378,-0.192,202.5,0.03770,0.00516,0.13687,0.65835,1.03995
11,14,5.75,2.012,0.378,-0.192,217.5,0.04360,0.00540,0.12385,0.65835,1.03995
